Land,Aantal klikken,Vertoningen,CTR,Positie
België,2873,20235,14.2%,10.32
Nederland,2279,22750,10.02%,18.41
Duitsland,47,4208,1.12%,21.23
Zwitserland,23,529,4.35%,14.34
Oostenrijk,18,839,2.15%,15.89
Frankrijk,17,377,4.51%,10.27
Spanje,16,436,3.67%,9.64
Zweden,7,65,10.77%,10.83
Polen,5,186,2.69%,11.6
Portugal,5,50,10%,7.2
Italië,4,413,0.97%,8.3
Verenigde Staten,2,1157,0.17%,10.82
Kroatië,2,233,0.86%,6.75
Hongarije,2,151,1.32%,4.78
Vietnam,2,94,2.13%,23.5
Mexico,2,53,3.77%,10.75
Luxemburg,2,38,5.26%,7.16
Noorwegen,2,13,15.38%,5.23
Ivoorkust,2,9,22.22%,8.78
India,1,174,0.57%,29.14
Verenigd Koninkrijk,1,168,0.6%,17.68
Rusland,1,136,0.74%,8.41
Filipijnen,1,94,1.06%,21.62
Indonesië,1,85,1.18%,23.78
Canada,1,75,1.33%,11.45
Thailand,1,74,1.35%,9.85
Zuid-Afrika,1,62,1.61%,12.76
Tsjechië,1,56,1.79%,4.7
Japan,1,56,1.79%,18.84
Macedonië,1,54,1.85%,6.48
Griekenland,1,54,1.85%,10.04
Colombia,1,38,2.63%,21.95
Hongkong,1,30,3.33%,7.7
Egypte,1,29,3.45%,20.41
Bulgarije,1,28,3.57%,14.07
Slovenië,1,25,4%,8.52
Ierland,1,18,5.56%,5.78
Nigeria,1,12,8.33%,7.67
Costa Rica,1,9,11.11%,6.44
Caribisch Nederland,1,7,14.29%,5.71
Rwanda,1,6,16.67%,10.83
Cyprus,1,5,20%,6
Litouwen,1,3,33.33%,4
Guadeloupe,1,1,100%,2
Zuid-Korea,0,587,0%,10.23
Brazilië,0,246,0%,9.06
Finland,0,242,0%,11.25
Turkije,0,122,0%,14.15
Bangladesh,0,116,0%,10.39
Verenigde Arabische Emiraten,0,79,0%,22.94
Argentinië,0,65,0%,12.62
Sri Lanka,0,60,0%,7.08
Australië,0,42,0%,31.05
Saudi-Arabië,0,41,0%,15
Slowakije,0,40,0%,4.33
Denemarken,0,33,0%,8.45
Marokko,0,29,0%,23.76
Maleisië,0,26,0%,33.42
Guatemala,0,25,0%,8.72
Chili,0,21,0%,13.48
Suriname,0,20,0%,5.5
Iran,0,19,0%,8
Roemenië,0,18,0%,12.78
Pakistan,0,17,0%,13.59
Singapore,0,16,0%,6.38
Venezuela,0,16,0%,10.94
Tunesië,0,15,0%,5.2
Oekraïne,0,15,0%,16.6
Ecuador,0,14,0%,22.07
Curaçao (Nederlandse Antillen),0,13,0%,6.62
Nieuw-Zeeland,0,12,0%,11.67
Algerije,0,12,0%,50.83
China,0,11,0%,6.64
Namibië,0,11,0%,9.45
Peru,0,11,0%,13.27
Belarus,0,9,0%,5.22
Servië,0,9,0%,12.56
Taiwan,0,9,0%,16.11
Montenegro,0,8,0%,7.88
El Salvador,0,8,0%,8.88
Kaapverdië,0,8,0%,11.25
Georgië,0,8,0%,12.88
Malta,0,7,0%,8
Dominicaanse Republiek,0,7,0%,8.86
Panama,0,7,0%,10.57
Bolivia,0,7,0%,19.57
Bosnië en Herzegovina,0,7,0%,20.43
Irak,0,7,0%,31.57
Aruba,0,6,0%,6.33
IJsland,0,6,0%,7.17
Maldiven,0,6,0%,9
Mauritius,0,6,0%,11.17
Israël,0,6,0%,11.67
Albanië,0,6,0%,22.67
Jordanië,0,6,0%,40.33
Honduras,0,5,0%,6
Letland,0,5,0%,7.8
Cambodja,0,5,0%,8.6
Tanzania,0,5,0%,10.6
Paraguay,0,5,0%,13.8
Ghana,0,5,0%,14.4
Azerbeidzjan,0,5,0%,22.2
Sint Maarten,0,4,0%,1.75
Oezbekistan,0,4,0%,3.75
Syrië,0,4,0%,6.25
Palestina,0,4,0%,6.5
Oman,0,4,0%,26.5
Andorra,0,3,0%,4.67
Estland,0,3,0%,4.67
Uruguay,0,3,0%,4.67
Kazachstan,0,3,0%,6
Afghanistan,0,3,0%,6.67
Liechtenstein,0,3,0%,9.67
Kenia,0,3,0%,11.33
Moldavië,0,3,0%,14.33
Madagaskar,0,2,0%,5.5
Armenië,0,2,0%,6.5
Myanmar (Birma),0,2,0%,6.5
Kosovo,0,2,0%,6.5
Cuba,0,2,0%,8
Jamaica,0,2,0%,8
Koeweit,0,2,0%,9.5
Macau,0,2,0%,10.5
Botswana,0,2,0%,11.5
Ethiopië,0,2,0%,11.5
Congo-Kinshasa,0,2,0%,12
Kameroen,0,2,0%,43
Bahrein,0,1,0%,1
Liberia,0,1,0%,1
Trinidad en Tobago,0,1,0%,3
Guam,0,1,0%,4
Onbekende Regio,0,1,0%,4
Grenada,0,1,0%,5
Malawi,0,1,0%,5
Libië,0,1,0%,6
Nieuw-Caledonië,0,1,0%,6
Qatar,0,1,0%,6
Laos,0,1,0%,7
Mali,0,1,0%,7
Nepal,0,1,0%,7
Tadzjikistan,0,1,0%,7
Mongolië,0,1,0%,8
Papoea-Nieuw-Guinea,0,1,0%,8
Réunion,0,1,0%,8
Angola,0,1,0%,9
Barbados,0,1,0%,9
Libanon,0,1,0%,9
Noordelijke Marianen,0,1,0%,9
Nicaragua,0,1,0%,9
Cookeilanden,0,1,0%,10
Niger,0,1,0%,10
Oeganda,0,1,0%,10
Kaaimaneilanden,0,1,0%,11
Faeröer,0,1,0%,88
